Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Lorraine,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation

Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
AFIJ,Action pour l'égalité des chances dans l'accès à l'emploi des jeunes diplômés issus des quartiers relevant des CUCS de Lorraine,"44,500 €","24,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFPA - CENTRE DE FORMATION PROFESSIONNELLE POUR ADULTES DE METZ,ACTION DE FORMATION DES CONTRATS AIDES AFPA 2007,"105,000 €","52,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AFPA DR LORRAINE,atelier de pédagogie personnalisée-APP,"239,800 €","119,900 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
AFPIA EST NORD / CFA de Liffol le Grand,Programme Régional de Développement de la Qualité de l'Apprentissage 2008,"37,330 €","18,665 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,62,Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés...
AGEFOS PME,Projets collectifs AGEFOS PME 2008 - SM 1.1.2,"93,243 €","18,841 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
AGEFOS PME,Projets Collectifs AGEFOS PME 2008- SM 1.2.3,"346,064 €","77,472 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
Agence Française de Sécurité Sanitaire des Aliments,Construction d'un laboratoire protégé de type P3 à Malzéville,"2,565,146 €","1,000,000 €",FEDER ,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY-EST / MALZEVILLE,Programme opérationnel FEDER Lorraine,2,Infrastructure R&DT et centres de compétence pour des technologies spécifiques
AIEM - Association d'Information et d'Entraide Mosellane,Accompagnement des femmes METZ - BORNY,"41,129 €","12,048 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE / METZ / METZ,Programme opérationnel national Fonds social européen,69,Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes...
AIEM - Association d'Information et d'Entraide Mosellane,Accompagnement des femmes WOIPPY,"63,817 €","23,275 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE / METZ / METZ,Programme opérationnel national Fonds social européen,69,Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes...
AIEM - Association d'Information et d'Entraide Mosellane,AIEM ACCOMPAGNEMENT PERSONNALISE VERS L'EMPLOI 2008,"32,900 €","16,450 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D INSERTION  ASSOCIATIF AIEM ATELIERS DE QUARTIER MOYEUVRE-GRANDE 2007,"50,000 €","25,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / MOYEUVRE-GRANDE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM ATELIERS DE QUARTIER MOYEUVRE-GRANDE 2009,"80,000 €","40,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / MOYEUVRE-GRANDE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM EMPLOYEES DE COLLECTIVITE 2009,"37,500 €","18,750 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM  ENTRAIDE FIL 2007,"37,500 €","18,750 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM ENTR'AIDE LOGEMENT 2007,"25,000 €","12,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM ENTRAIDE LOGEMENT 2009,"25,000 €","12,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D INSERTION ASSOCIATIF AIEM EQUIP TOIT 2007 ,"30,000 €","15,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / FLORANGE / UCKANGE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
