Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Ile de France,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
Action prévention sport d'Île-de-France,"Le sport, outil d'insertion sociale et professionnelle","172,164 €","84,428 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,VAL-DE-MARNE / NOGENT-SUR-MARNE / JOINVILLE-LE-PONT / JOINVILLE-LE-PONT,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Action prévention sport d'Île-de-France,"Le sport, outil d'insertion sociale et professionnelle","225,653 €","108,213 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,VAL-DE-MARNE / NOGENT-SUR-MARNE / JOINVILLE-LE-PONT / JOINVILLE-LE-PONT,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ACTIONS ENTREPRISE,Accompagnement vers et dans l'emploi,"10,000 €","10,000 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,ESSONNE / PALAISEAU / ATHIS-MONS,Programme opérationnel national Fonds social européen,4,"Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
ACTIONS ENTREPRISE,Accompagnement vers et dans l'emploi,"10,000 €","10,000 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,ESSONNE / PALAISEAU / ATHIS-MONS,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Action sociale formation recherche,Club emploi,"10,793 €","4,176 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,ESSONNE / ETAMPES,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Action sociale formation recherche,Référent de parcours du public adulte,"78,000 €","41,000 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,ESSONNE / ETAMPES / ETAMPES / ETAMPES,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ADAF-APP,Ateliers de formation personnalisée ,"20,219 €","9,801 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,HAUTS-DE-SEINE / NANTERRE / CLICHY,Programme opérationnel national Fonds social européen,,
ADAF-APP,Evaluation des savoirs de base et remise à niveau des jeunes et des adultes,"57,635 €","38,079 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,HAUTS-DE-SEINE / NANTERRE / CLICHY / CLICHY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ADEQUATION CONSEIL ET FORMATION,Améliorer sa Communication pour Optimiser sa Recherche d'Emploi,"16,000 €",,FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ADEQUATION CONSEIL ET FORMATION,Bilan de compétences accompagné,"39,000 €","39,000 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,PARIS / PARIS / PARIS-11E_ARRONDISSEMENT-11E_CANTON,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ADEQUATION CONSEIL ET FORMATION,Tremplin pour l'Emploi,"9,000 €",,FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Adere Recyclage,Accomgnement des bénéficiaires du PLIE par le renforcement de l'encadrement,"8,710 €","7,960 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,YVELINES / MANTES-LA-JOLIE / MEULAN / LES MUREAUX,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Adere Recyclage,Aide aux postes des entreprises d'insertion,"135,534 €","60,990 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,YVELINES,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
