name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Logistikinitiative Schleswig-Holstein e.V. 
c./o. KIWI GmbH","Clustermanagement Logistikinitiative 
Schleswig-Holstein Log-I SH 2008 bis 
2011",2008,499800
Interturbine Technologies GmbH,"Extremdimensionierte 
Hochpräzisionsbauteile aus Titan-
Basislegierungen",2008,495900
"Adolf Nissen Elektrobau GmbH & Co. 
KG","Erweiterung einer Betriebsstätte in 
Tönning (Nissen)",2008,493506
"Schleswig-Holstein Binnenland 
Tourismus e.V.","Moderniserung u.Optimierung des 
Fernwanderweges   Ochsenweg",2008,490000
Zöllner Signal GmbH,"Dynamisches opto-akustisches 
Fluchtwegeleitsystem",2008,490000
"Volkshochschule der Stadt Pinneberg 
e.V.","Weiterbildungsverbund Kreis 
Pinneberg",2007,488200
Amt Lauenburgische Seen,"Erschließung des Gewerbegebietes B-
Plan 7 in der Gemeinde Ziethen",2008,483697
"WTSH- Wirtschaftsförderung und 
Technologietransfer Schleswig-Holstein 
GmbH","Maritimes Clustermanagement 
Schleswig-Holstein 2008-2011 Projekt 
Nr.: 122-08-007",2008,479008
"Wirtschaftsförderung und 
Technologietransfer Schleswig-Holstein 
GmbH","Kompetenznetzwerk 
Ernährungswirtschaft für den 
nördlichen Landesteil",2007,462756
MR. NET Services GmbH & Co. KG,"Verlagerung einer Betriebsstätte in 
Flensburg (Mr.NET)",2008,455000
Wirtschaftsförderung Lübeck GmbH,Weiterbildung in Lübeck,2007,447200
Handwerkskammer Flensburg,"Außenwirtschaftsberatungsstelle im 
Handwerk",2007,438760
2wcom GmbH,"Errichtung einer Betriebsstäte in 
Flensburg (2wcom)",2008,437243
Initiative Weiterbildung e.V.,Weiterbildungsverbund Flensburg,2007,429720
KulTour Oldenburg in Holstein GmbH.,"Weiterbildungsverbund Ostholstein - 
Plön",2007,428536
"Wirtschaftsförderungsgesellschaft 
Nordfriesland mbh","Regionalmanagement windcomm! - 
Netzwerkagentur Wind/Offshore",2007,417053
Johnson & Johnson MEDICAL GmbH,Mesh for Face (M4F),2007,410750
"Kreis Nordfriesland -Der Landrat- 
Weiterbildungsverbund",Weiterbildungsverbund Nordfriesland,2007,399815
Gebrüder Wollenhaupt,"Modernisierung einer Betriebsstätte in 
Reinbek (Wollenhaupt)",2008,386820
