name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
Ingenieurbüro Nötzold,"Innovationsassistent (Ingenieurbüro 
Nötzold)",2008,30000
Ingress oHG,Innovationsassistent (Ingress oHG),2008,30000
Inhouse Consulting & Training GmbH,"Innovationsassistentin (Inhouse 
Consulting & Training GmbH)",2008,30000
LaserSoft Imaging AG,"Innovationsassistent (LaserSoft 
Imaging AG)",2008,30000
Macio GmbH,Innovationsassistent (Macio GmbH),2008,30000
macio GmbH,Innovationsassistentin (macio GmbH),2008,30000
macio GmbH,Innovationsassistent (macio GmbH),2008,30000
Max - Santa Fe Veranstaltungs GmbH,Innovationsassistent (Max-Santa Fe),2008,30000
medienwerker GmbH,"Innovationsassistent (medienwerker 
GmbH)",2008,30000
Microstim GmbH,"Innovationsassistent (Microstim 
GmbH)",2008,30000
MiE medical imaging electronics GmbH,"Innovationsassistent (MiE medical 
imaging electronics GmbH)",2008,30000
MTT Technologies GmbH,"Innovationsassistent (MTT 
Technologies GmbH)",2008,30000
m-u-t AG,Innovationsassistent (m-u-t AG),2008,30000
Pattern Recognition Company GmbH,"Innovationsassistent (PRC Pattern 
Recogn.Comp.)",2008,30000
PietschConsult GmbH,"Innovationsassistentin 
(PietschConsult GmbH)",2008,30000
PRC Pattern Recognition GmbH,"Innovationsassistent (PRC Pattern 
Recognition GmbH)",2008,30000
proDerm GmbH,"Innovationsassistent (proDerm 
GmbH)",2008,30000
Proteo Biotech AG,"Innovationsassistentin (Proteo Biotech 
AG)",2008,30000
Realf Ehe & Tom Janneck GbR,"Innovationsassistentin (Ralf Ehe & 
Tom Janneck GbR)",2008,30000
Record Film,Innovationsassistent (Record Film),2008,30000
Ruetz Technologies GmbH,"Innovationsassistent (Ruetz 
Technologies GmbH)",2008,30000
soIT GmbH,Innovationsassistent (soIT GmbH),2008,30000
Solcon Systemtechnik GmbH,"Innovationsassistent (Solcon 
Systemtechnik GmbH)",2008,30000
Solcon Systemtechnik GmbH,"Innovationsassistent (Solcon 
Systemtechnik GmbH)",2008,30000
Studi-Coach,Innovationsassistent (Studi-Coach),2008,30000
UfE GmbH,Innovationsassistentin (UfE GmbH),2008,30000
"Viking Telecom Business Service 
Deutschland GmbH & Co. KG","Innovationsassistentin (Viking 
Telecom Business)",2008,30000
VisiConsult GmbH,"Innovationsassistent (VisiConsult 
GmbH)",2008,30000
Vision n GmbH,Innovationsassistent (Vision n GmbH),2008,30000
webworx GmbH,"Innovationsassistent (webworx 
GmbH)",2008,30000
WES IBS GmbH,"Innovationsassistent (WES IBS 
GmbH)",2008,30000
who Ingenieurgesellschaft mbH,"Innovationsassistent (who 
Ingenieurgesellschaft mbH)",2008,30000
"Wolf-Rüdiger Brämer Elektroplanung 
GmbH","Innovationsassistent (Brämer 
Elektroplanung GmbH)",2008,30000
WULFF Deutschland GmbH,"Innovationsassistent (WULFF 
Deutschland GmbH)",2008,30000
"Michael Schümann Landtechnischer 
Fachbetrieb","Grundlegende 
Rationalisierung/Umstellung einer 
Betriebsstätte in Lockstedt 
(Schümann)",2008,29489
VDI/VDE Innovation + Technik GmbH,Evaluierung Clustermanagement,2008,29388.24
Stadtrat der Stadt Flensburg,"Gemeinsames Tourismuskonzept für 
Flensburg, Glücksburg und Harrislee",2008,28327
"dsn-Projekte und Studien für Wirtschaft 
und Gesellschaft","Innovationsassistentin (dsn-Projekte 
und Studien für Wirtschaft und 
Gesellschaft)",2008,26279.84
e~nema GmbH,Innovationsassistent (e~nema GmbH),2008,25960
Stadt Schleswig,"Tourismuskonzept für die Stadt 
Schleswig",2008,24204
Fachhochschule Lübeck,"Machbarkeitsstudie für ein E-Learning-
Kompetenzzentrum Schleswig-
Holstein",2008,24000
M. Huber I.T.S. GmbH,"Erweiterung einer Betriebsstätte in 
Schwarzenbel (Huber I.T.S. GmbH)",2007,22533,
Landeshauptstadt Kiel,"Gesamttouristisches Konzept für die 
Landeshauptstadt Kiel",2008,22440,
Pension Haus Sonnenschein,"Modernisierung einer Betriebsstätte in 
Friedrichskoog (Haus Sonnenschein)",2008,21714,
Apart-Hotel garni Neptun,"Modernisierung einer Betriebsstätte in 
Timmendorfer Strand (Lender)",2008,21000,
"Fachhochschule Lübeck Forschungs-
GmbH","Erstellung einer Potenzialstudie - 
Aufbau eines Kompetenzzentrums für 
Industrial IT",2008,20000,
FHL Forschungs-GmbH,Potentialstudie technische Biochemie,2007,20000,
Inhouse Consulting & Training GmbH,"Innovationsassistentin (Inhouse 
Cons.&Training)",2008,20000,
Stadt Kappeln,"Tourismuskonzept für die Stadt 
Kappeln",2008,19075,
Amt Lütjenburg-Land,"Erstellung eines Tourismuskonzeptes 
für die Gesamtregion Hohwachter 
Bucht",2008,17700,
Gemeinde Helgoland,"Erstellung eines Tourismuskonzeptes 
für Helgoland",2008,17360,
Gemeinde Gülzow ,"Erstellung einer Machbarkeitsstudie 
Zugpferdemuseum Gut Gülzow",2008,16957,
Stadt Wyk auf Föhr,"Erstellung eines Tourismuskonzeptes 
für die Insel Föhr",2008,16200,
BlueBioTech GmbH,"Innovationsassistent (BlueBioTech 
GmbH)",2008,15000,
"Sonnen- und Alternativtechnik GmbH & 
Co. KG",Innovationsassistent,2008,15000,
Dithmarschen Tourismus e.V.,"Tourismuskonzept 
Dithmarschen/Tourismusinitiative III",2008,12600,
"Delphin Wassertechnik GmbH &      Co. 
KG ",Innovationsberatung,2007,12500,12500
"LMT Lammers Medical Technology Gmb
H ",Innovationsberatung,2007,12500,
cbb software GmbH ,Innovationsberatung,2007,12400,
"Protectoplus Lager- und Umwelttechnik 
GmbH ",Innovationsberatung,2007,11500,
macio GmbH,Innovationsberatung,2007,11200,11200
Innovationsstiftung Schleswig-Holstein,"Evaluation des Kompetenzzentrums 
Biomassenutzung",2008,8589.38,
Georg Abdallah,"Kosten für den Nachdruck von 
Werbemitteln",2008,4274.71,
"Gebäudemanagement Schleswig-
Holstein AöR",Clusterevaluierung,2008,2469.85,
"Fraunhofer-Institut für Experimentelles 
Sofware Engineering","Gutachterkosten für das Projekt 
""KOSSE""",2008,1400,
Prof. Dr. Hannes Weindlmeier,Gutachten für KMSH,2008,1400,
Prof. Dr. Karen Wiltshire,"Gutachten zum Thema 
Ballastwassermanagementsystem 
""JETSAM""",2008,700,
