ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
759,"TGL- Trägergesellschaft Land
Sachsen-Anhalt GmbH","Network-KMU - Beratungs- und Betreuungsleistungen für
kleine und mittlere Unternehmen zur Sicherung und
Schaffung von Arbeitsplätzen sowie Wissensvermittlung und
Sensibilisierung kleiner und mittlerer Unternehmen",2007," 411,332.38 "
414,"IHK Bildungszentrum Halle-Dessau
GmbH","Personal- und Organisationsentwicklung zur Unterstützung
des Prozesses des lebenlangen Lernens - ""Wachstum durch
branchenspezifische Qualifikationen",2008," 399,979.00 "
264,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH","Zukunft mit Arbeit im Salzlandkreis: Magdeburger Str. 24,
06449 Aschersleben",2008," 389,321.00 "
387,Handwerkskammer Magdeburg,"Personal- und Organisationsentwicklung in Unternehmeen
zur Unterstützung des Prozesses des lebenslangen Lernens
- ""Fachkräftepotiential durch externes Bildungsmanagement
systematisch erschließen""",2008," 388,694.00 "
574,megalearn DIE AKADEMIE,"B - Fachkräftegewinnung und -entwicklung  ""Wait Final"" -
Wirtschaftsassistenten Informatik fachpraktisch trainieren,
Wissenslücken schließen und mit einem mehrmonatigen
Praktikum und der IHK Prüfung zu Fachinformatikern
ausbilden",2008," 386,996.20 "
46,"Akademie Überlingen Verwaltungs-
GmbH","Zukunft mit Arbeit im Landkreis Harz: Ilsenburger Str. 31 in
38855 Wernigerode und Weinbergstr. 23a in 38889
Blankenburg",2008," 384,308.00 "
108,"BBI - Bildungs- und Beratungsinstitut
GmbH","RL Praktikumsmaßnahme zur beruflichen Eingliederungam
Arbeitsmarkt benachteiligter Personen",2008," 380,574.00 "
820,"VHS - Bildungswerk in Sachsen-
Anhalt GmbH","Ingenieure von morgen - Beitrag zur Sicherung des
ingenieurwissenschaftlichen Fachkräftebedarfs",2008," 373,810.22 "
234,"ETZ-Projektmanagement GmbH
Weißenfels","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 373,433.00 "
262,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 372,625.00 "
261,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 368,809.00 "
301,"Förderungsdienst des Einzelhandels
im Lande Sachsen-Anhalt GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 364,521.00 "
426,"Innovations- und Gründerzentrum
Magdeburg GmbH",Qualifizierung von Existenzgründern,2008," 362,048.50 "
336,"Gesellschaft für Innovation und
Förderung der Wirtschaft im
Landkreis Wernigerode mbH",Qualifizierung von Existenzgründern,2008," 360,455.70 "
576,"Merseburger Innovations- u.
Technologiezentrum GmbH",Qualifizierung von Existenzgründern,2008," 359,915.13 "
760,"TGZ Halle Technologie- und
Gründerzentrum Halle GmbH",Qualifizierung von Existenzgründern,2008," 358,072.58 "
186,"BWSA Bildungswerk der Wirtschaft
Sachsen-Anhalt e. V.",Absolventen U30,2008," 357,705.00 "
425,"Innovations- und Gründerzentrum BIC
Altmark GmbH",Qualifizierung von Existenzgründern,2008," 355,881.63 "
844,"Wirtschaftsförderungsgesellschaft
Burgenlandkreis mbH",Qualifizierung von Existenzgründern,2008," 354,430.50 "
265,"ewg Entwicklungs- und
Wirtschaftsförderungsgesellschaft
Anhalt-Bitterfeld mbH",Qualifizierung von Existenzgründern,2008," 350,625.00 "
424,"Innovations- und Gründerzentrum
Altmarkkreis Salzwedel",Qualifizierung von Existenzgründern,2008," 350,625.00 "
540,Landkreis Bördekreis,Qualifizierung von Existenzgründern,2008," 350,625.00 "
412,"IGZ INNO-LIFE Innovations- und
Gründerzentrum Schönebeck GmbH",Qualifizierung von Existenzgründern,2008," 350,620.75 "
440,"isw Gesellschaft f. wissenschaft.
Beratung u. Dienstleistung","Fachkräftegewinnung und -entwicklung - ""Lernarrangements""",2008," 346,330.00 "
273,"FAA Bildungsgesellschaft mbH
Südost","""Zukunft mit Arbeit"" im Saalekreis: Bahnhofsplatz 1 und
Halleschestraße 99 in 06217 Merseburg",2008," 342,761.24 "
106,"BBI - Bildungs- und Beratungsinstitut
GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 339,903.00 "
566,"Ländliches Bildungszentrum
Wanzleben e.V.","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 333,220.45 "
