"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"SIURP - operazione 9.1.1.3.1","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.998.477,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Bandi di Gara/Avvisi Pubblici per la Selezione delle Operazioni","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.500.000,00","98.126,40","80.912,94","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"SIURP- Spese Iniziali ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","10.597,44","10.597,44","10.570,41","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Visita istituzionale della commissaria europea Danuta Hubner","Tutti i comuni della regione CALABRIA","Regione Calabria Dip. Programmazione Nazionale e Comunitaria","Regione Calabria Dip. Programmazione Nazionale e Comunitaria","2.465,00","2.465,00","2.465,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Retribuzione di n. 3 (tre) redattori (DDG n.2788/09)","Tutti i comuni della regione CALABRIA","Regione Calabria - Progr. Nazionale Comunitaria Affari Internaz.","Regione Calabria - Presidenza","76.331,26","76.331,26","54.090,42","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Comitato di Sorveglianza del POR Calabria FESR 2007-2013","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","400.000,00","70.552,30","70.077,62","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Assistenza Tecnica all�attivit� delle Unit� di Monitoraggio ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.998.477,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Serv/Esterni X Realizzazione Prodotti Editoriali e Multimediali.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.103.474,00","350.751,90","13.656,52","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Segreteria Tecnica dell'Autorit� di Gestione.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.492.104,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Indenn/Posizione Organizzativa/Respons/ Lin/ OP 9.1.1.1.5","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","5.016.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Autorit� per l�Uguaglianza.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","300.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Sistema/Archiviazione/Documentazione/POR Cal.FESR 2007/2013.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","2.000.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Assistenza Tecnica all'Autorit� di Gestione FESR 2007/2013.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","13.190.905,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione, al Comitato di Coordinamento del Programma, ai Responsabili degli Assi / Settori Prioritari nella realizzazione delle attivit� di coordinamento e gestione del POR."
"Studi/Fattibilit� Analisi Costi Benef/l�Attuaz. POR OP 9.1.1.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","918.025,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Sist/Inform/Progr/Operat/Gest/Valut/Politich/Settor/ OP 9.1.1.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","215.536,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"1ﾰ UP del PISR ﾿Sistema delle Aree Urbane Regionali﾿OP 9.1.1.2.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","311.330,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"2ﾰ) UP  PISR ﾿Rete Regionale delle Case della Salute""OP9.1.1.2.4","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","161.652,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"3�) UPdel PISR �Legalit� e Sicurezza in Calabria OP 9.1.1.2.5","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"4) UP PISR ﾿Piano Reg/Infrastr/Produtt/ParchiImprese OP9.1.1.2.6","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"PIANO FIERISTICO IIﾰ SEMESTRE 2009","Tutti i comuni della regione CALABRIA","Regione Calabria - Dipartimento n. 12 Turismo, Beni culturali...","Regione Calabria - Dipartimento n. 12 Turismo, Beni culturali...","1.011.148,00","1.011.148,00","969.140,39","Programma Operativo FESR  2007/2013","Azioni per attrarre nuovi flussi turistici nazionali ed internazionali in Calabria."
"Posizioni Organizzative di Unit� di Monitoraggio OP 9.1.1.3.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.651.408,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali, ai Beneficiari finali e ai Soggetti attuatori nelle attivit� di monitoraggio delle operazioni finanziate."
"Area �Comunicazione con i Media 9.1.1.7.1","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.503.845,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Area�Comunicaz/ Integrata, Eventi e Progetti Strategici Orizz.li","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.064.389,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Servizi Esterni per la Comunicazione Integrata.op 9.1.1.7.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","662.085,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Servizi Esterni per l�Organizzazione di Eventi. OP9.1.1.7.4","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","882.779,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Serv/Esterni Messa in Onda/Trasmissioni TelevisiveRadiofoniche. ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","882.779,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
"Serv/Esterni Acquisizione di Spazi Promozionali. OP 9.1.1.7.7","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","862.797,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto all�Autorit� di Gestione e al Responsabile dell�Informazione nella elaborazione, gestione, monitoraggio e valutazione del Piano di Comunicazione del POR."
" ﾿Modernizzazione della Pubblica Amm/ Regionale﾿ OP 9.1.1.2.7","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Sviluppo delle Filiere Energetiche﾿ (DGR n.190/09).OP 9.1.1.2.8","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Grandi Attrattori Culturali della Magna Grecia﾿ OP 9.1.1.2.9","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"U.P. PISR ﾿Arte Contemporanea in Calabria﾿ OP 9.1.1.2.10","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","149.678,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Unit� di Progetto del PISR �Teatro in Calabria� O.P.9.1.1.2.11","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","149.678,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Rete Regionale dei Poli di Innovazione﾿ O.P.9.1.1.2.12","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Cittadella/Scienza e Rete Laboratori Scientifici O.P.9.1.1.2.13","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Prog. Pilota/Scuola Accogliente,Moderna e Aperta ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"U.P.  PISR �Rete delle Fabbriche della Creativit� O.P 9.1.1.2.15","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Unit� di Progetto del PISR �Giovani Talenti� O.P.9.1.1.2.16 ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"U.P. PISR ﾿Cantieri per il Lavoro -  O.P. 9.1.1.2.17 ","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"PISR ﾿Rete dei Castelli,Fortif/Militari Fabbriche d﾿Armi Borbon.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"A.T.  all�attivit� di controllo di Primo Livello O.P.9.1.1.4.1","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","3.388.234,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali preposte e agli eventuali Organismi  intermedi nelle attivit� di controllo di 1� livello delle operazioni finanziate."
"Selezione Revisori Contabili O.P. 9.1.1.4.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","338.671,03","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali preposte e agli eventuali Organismi  intermedi nelle attivit� di controllo di 1� livello delle operazioni finanziate."
"Posiz/Organizz. di Unit� di Verifiche e Controlli O.P. 9.1.1.4.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.646.947,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali preposte e agli eventuali Organismi  intermedi nelle attivit� di controllo di 1� livello delle operazioni finanziate."
"Rimborso/Spese/Missioni ai Funzionari/Unit�/Verifiche eControlli","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","597.924,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle strutture regionali e provinciali preposte e agli eventuali Organismi  intermedi nelle attivit� di controllo di 1� livello delle operazioni finanziate."
"Funzion/ Struttura dell�Autorit� Audit - 2� Trienn O.P.9.1.1.5.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.780.230,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle attivit� dell�Autorit� di Certificazione e dell�Autorit� di Audit."
"Rimb/Spese Missioni del Personale - Autorit� Audit O.P.9.1.1.5.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","503.499,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle attivit� dell�Autorit� di Certificazione e dell�Autorit� di Audit."
"Assistenza Tecnica all�Autorit� di Audit O.P. 9.1.1.5.4","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.198.808,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle attivit� dell�Autorit� di Certificazione e dell�Autorit� di Audit."
"Segreteria Tecnica dell�Autorit� di Audit O.P.9.1.1.5.5","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","722.741,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle attivit� dell�Autorit� di Certificazione e dell�Autorit� di Audit."
"Segreteria Tecnica dell�Autorit� di Certificazione O.P. 9.1.1.5.","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.674.510,00","0,00","0,00","Programma Operativo FESR  2007/2013","Supporto alle attivit� dell�Autorit� di Certificazione e dell�Autorit� di Audit."
"Sistemi Inf/vi-Programm/Operativa,Gestione-Valutazio OP9.1.1.6.1","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","215.800,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la valutazione del Programma in conformit� ai Regolamenti comunitari e sulla base dei documenti di Indirizzo della Commissione e del Sistema Nazionale di Valutazione."
"Valutazioni Ex-Post/Programm/Regionale 2000/2006-O.P. 9.1.1.6.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","566.475,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la valutazione del Programma in conformit� ai Regolamenti comunitari e sulla base dei documenti di Indirizzo della Commissione e del Sistema Nazionale di Valutazione."
"Valutaz/ Ex-Ante  Programm/Regionale 2007/2013.O.P. 9.1.1.6.3","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","629.416,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la valutazione del Programma in conformit� ai Regolamenti comunitari e sulla base dei documenti di Indirizzo della Commissione e del Sistema Nazionale di Valutazione."
"Valutaz/In-Itinere  Programm/Regionale 2007/2013.O.P. 9.1.1.6.4","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","944.124,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la valutazione del Programma in conformit� ai Regolamenti comunitari e sulla base dei documenti di Indirizzo della Commissione e del Sistema Nazionale di Valutazione."
"U.P.PISR﾿Grandi Attrattori Religiosi in Calabria﾿O.P.9.1.1.2.19","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Tutela,Salv/dia Valorizz/Patrim/Etnoantr/Min/ Linguistic911.2.20","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"U.P.PISR ﾿Rete Regionale per l﾿Innovazione﾿  O.P.9.1.1.2.21","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"U.P.PISR ﾿Rafforzare i Diritti dei Minori﾿  OP 9.1.1.2.22","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Sosten/Migliorare le Condizioni di Vita/Persone Svan 9.1.1.2.23","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"�Distretto Agroal/re di Qualit� della Sibaritide�O.P. 9.1.1.2.24","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"PISR﾿Rete dei Parchi Culturali, Letterari e Tematici﾿OP.911.2.25","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Unit� di Progetto del PISR �Eventi Culturali� O.P. 9.1.1.2.26","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","149.678,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"PISR﾿Contrasto/Spopolamento/Aree Interne e Perif/O.P. 9.1.1.2.27","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Sistema Ferroviario Metropolitano Regionale﾿ O.P. 9.1.1.2.28","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"﾿Polo Logistico Intermodale di Gioia Tauro﾿ O.P. 9.1.1.2.29","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
" PISR ﾿Programma Calabria Promozione﾿ O.P.9.1.1.2.30","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","203.562,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Com/Tecn/Scientif.Indirizzo e Valutaz/Prog/Integr/Svil-Reg.V.S","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","598.712,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Laboratori Territoriali di Progettazione O.P 9.1.1.2.32","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","1.696.350,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per rafforzare le strutture e gli strumenti tecnici e amministrativi necessari ad una migliore attuazione del POR."
"Ufficio del Partenariato Economico Sociale - Op. 9.1.2.1","Tutti i comuni della regione CALABRIA","Regione Calabria Dip. Programmazione Nazionale e Comunitaria","Regione Calabria Dip. Programmazione Nazionale e Comunitaria","1.076.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni di assistenza tecnica al Partenariato Economico e Sociale per lﾴanalisi, la valutazione e la comunicazione delle politiche regionali del POR Calabria FESR 2007 - 2013."
"Studi, Analisi e Valutazioni - O.P. 9.1.2.1.2","Tutti i comuni della regione CALABRIA","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","Regione Dipartimento 3: Progr. Nazionale e Comunitaria","400.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni di assistenza tecnica al Partenariato Economico e Sociale per lﾴanalisi, la valutazione e la comunicazione delle politiche regionali del POR Calabria FESR 2007 - 2013."
