"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"Lavori di ammodernamento impianto pubblica illuminazione del...","Comune di Santa Cristina D'Asp(RC)","COMUNE DI S.CRISTINA D'ASPROMONTE","COMUNE DI S.CRISTINA D'ASPROMONTE","100.565,60","98.836,85","98.677,58","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Impianto comunale di pubblica illuminazione interventi per i...","Comune di Sant'Alessio In Aspr(RC)","COMUNE DI S.ALESSIO in ASPROMONTE","COMUNE DI S.ALESSIO in ASPROMONTE","65.684,21","30.630,00","30.630,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di Sant'Eufemia D'Aspro(RC)","COMUNE DI S.EUFEMIA D'ASPROMONTE","COMUNE DI S.EUFEMIA D'ASPROMONTE","92.631,58","92.631,58","23.157,89","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Interventi di adeguamento dell'impianto di pubblica illumina...","Comune di Santo Stefano In Asp(RC)","COMUNE DI S.STEFANO D'ASPROMONTE","COMUNE DI S.STEFANO D'ASPROMONTE","92.631,58","83.884,62","83.884,62","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Adeguamento ed ottimizzazione dell'impianto di pubblica illu...","Comune di Scilla(RC)","COMUNE DI SCILLA","Comune di Scilla (C.F.)","100.250,53","76.755,48","76.755,48","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Risparmio energetico,  contenimento dell'inquinamento lumino...","Comune di Seminara(RC)","COMUNE DI SEMINARA","COMUNE DI SEMINARA","100.990,40","18.311,04","18.311,04","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Progetto per l'adeguamento e la razionalizzazione dell'impia...","Comune di Serrata(RC)","COMUNE DI SERRATA","COMUNE DI SERRATA","92.631,58","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Interventi di adeguamento dell'impianto di pubblica illumina...","Comune di Sinopoli(RC)","COMUNE DI SINOPOLI","COMUNE DI SINOPOLI","92.631,58","23.158,19","23.158,19","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Promozione di iniziative nel campo del risparmio energetico ...","Comune di Taurianova(RC)","COMUNE DI TAURIANOVA","Comune di Taurianova (C.F.)","173.684,21","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Adeguamento normativo dell'impianto di pubblica illuminazione","Comune di Terranova Sappo Minulio(RC)","COMUNE DI TERRANOVA SAPPO MINULIO","Comune di Terranova Sappo Minulio (C.F.)","92.631,58","25.526,31","25.526,31","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
